assetId,kind,mediaType,byteSize,sha256,duplicateGroup,language,rightsStatus,recommendedDisposition,futureObjectKeyHint
mig003-document-91c816b5ff2975dd,document,application/pdf,600808,91c816b5ff2975dd93feec0e8f4423135c809b30aa8113c6b032ca97a7c65e88,dg-000052,unknown,UNKNOWN,REVIEW,mig003/document/unknown/91c816b5ff2975dd.pdf
mig003-document-e2cc4f21a1428f2e,document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,14798,e2cc4f21a1428f2ea5f2e78d68c4e9ed4348bb71c04996d7e5155f8b6020762a,dg-000053,unknown,UNKNOWN,REVIEW,mig003/document/unknown/e2cc4f21a1428f2e.docx
mig003-unknown-c68f481e906bfbbd,unknown,application/octet-stream,54293,c68f481e906bfbbd85ebc076a9b9000bc1a2b195e80c5dc1d7038d1b264d9c31,dg-000054,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/c68f481e906bfbbd.md
mig003-unknown-16b5c2f6608861ea,unknown,application/octet-stream,801,16b5c2f6608861ea53b59e40be8950ee41306e1b85e1a6a667ceec8f6e460f4a,dg-000055,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/16b5c2f6608861ea.md
mig003-unknown-891665c0dad96be1,unknown,application/octet-stream,35977,891665c0dad96be135f91ae5a2b91c560c3285d4ba0bf4f7411f632ad02ad4fd,dg-000056,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/891665c0dad96be1.md
mig003-unknown-6f5dea7fbaa04049,unknown,application/octet-stream,9119,6f5dea7fbaa0404926159cd09b590f094e6e3f879a8769b59730a7da0f806d94,dg-000057,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/6f5dea7fbaa04049.md
mig003-unknown-5c450c907fb287c3,unknown,application/octet-stream,13359,5c450c907fb287c3030a3d84e60537c46b4a67a3292fcaaee7175c4be0908a81,dg-000058,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/5c450c907fb287c3.md
mig003-unknown-6cdbf9885bf2c2fd,unknown,application/octet-stream,26307,6cdbf9885bf2c2fd76d9a4b4ea1ed660a5fad34d573f8bd734c4a8c5771ac886,dg-000059,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/6cdbf9885bf2c2fd.md
mig003-unknown-c94d3de6843366d3,unknown,application/octet-stream,17815,c94d3de6843366d3bf41f6636feb2e5134e7e6b8930fda0d0ef8c1898d9b329c,dg-000060,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/c94d3de6843366d3.md
mig003-unknown-0fb3942a07d0df5b,unknown,application/octet-stream,35389,0fb3942a07d0df5b638851b7b176bf99fd821f3305c6d6b0733bb2565b142cb7,dg-000061,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/0fb3942a07d0df5b.md
mig003-unknown-1d122d49b076ebad,unknown,application/octet-stream,3208,1d122d49b076ebade74aa0612ea4117b4d091f06d7936fae83b72da43f173d49,dg-000062,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/1d122d49b076ebad.md
mig003-document-ef6f77a62b6fbbca,document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,257664,ef6f77a62b6fbbcad32892f0d44b9c4972f50cb6667974bdc67d1c6aa8d2273e,dg-000063,unknown,UNKNOWN,REVIEW,mig003/document/unknown/ef6f77a62b6fbbca.docx
mig003-unknown-f53b7195095569b4,unknown,application/octet-stream,31196,f53b7195095569b4a88f3c9bfc564f993c4e23693f7fa4f9c5d587188c5dc9e9,dg-000064,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/f53b7195095569b4.html
mig003-unknown-a88e2401c59b521f,unknown,application/octet-stream,4618,a88e2401c59b521f04ef832373e45c46fa8a66ddd7d8c54622a3f98c70503156,dg-000065,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/a88e2401c59b521f.yml
mig003-unknown-ab09c9edfae776be,unknown,application/octet-stream,161,ab09c9edfae776be672efd6fcd9b13a3f5aa2d56bd29956cc0f05fd9fad6ac8a,dg-000066,unknown,UNKNOWN,REVIEW,mig003/unknown/unknown/ab09c9edfae776be.bin
